population,gender,coffee,computer,shower,beer,tacos,age
metalhead,male,21,19,3,58,23,23
metalhead,female,12,10,0,59,15,23
metalhead,male,20,11,3,59,32,22
metalhead,male,26,17,2,59,25,19
hipster,female,25,45,15,60,14,20
metalhead,female,17,11,2,61,15,21
metalhead,female,11,16,5,61,16,22
metalhead,male,24,17,2,61,25,23
metalhead,female,22,12,9,62,18,24
metalhead,male,25,20,5,63,16,19
metalhead,male,15,24,4,63,24,20
hipster,female,25,43,1,63,17,21
metalhead,male,22,19,5,64,26,22
hipster,female,24,38,6,65,13,23
metalhead,male,18,16,11,66,26,24
metalhead,male,24,17,4,66,28,24
metalhead,male,24,25,5,66,22,24
metalhead,female,18,6,6,67,17,24
metalhead,male,16,14,6,67,32,24
metalhead,male,15,12,6,69,26,24
metalhead,male,18,25,0,69,34,25
metalhead,male,22,19,6,70,28,25
metalhead,female,17,14,18,73,17,23
metalhead,male,18,16,1,80,27,22
